timestamp,lacc_x,lacc_y,lacc_z
3937946,0,-5,1
3937956,0,-5,-3
3937966,0,-5,0
3937976,0,-5,0
3937986,0,-4,1
3937996,0,-4,-5
3938006,0,-5,0
3938016,1,-4,-2
3938026,0,-4,-1
3938036,0,-4,-2
3938046,0,-6,-2
3938056,-1,-3,-2
3938066,0,-6,0
3938076,0,-3,1
3938086,0,-6,-1
3938096,0,-4,-2
3938106,0,-4,-2
3938116,0,-4,0
3938126,0,-3,0
3938136,0,-5,-1
3938146,0,-7,-4
3938156,0,-6,-1
3938266,0,-7,-2
3938276,0,-4,0
3938286,1,-5,-2
3938296,0,-5,-2
3938306,0,-4,-2
3938316,1,-5,-1
3938326,0,-4,0
3938336,0,-6,-2
3938346,0,-3,-2
3938356,1,-7,-1
3938366,1,-2,0
3938376,0,-4,-2
3938386,0,-3,-3
3938396,0,-6,0
3938406,0,-5,0
3938416,0,-5,-3
3938426,0,-7,-2
3938436,0,-2,0
3938546,0,-4,-2
3938556,0,-5,-4
3938566,0,-5,-1
3938576,0,-7,-1
3938586,0,-4,-1
3938596,0,-4,-2
3938606,0,-5,-2
3938616,0,-5,-1
3938626,1,-4,0
3938636,0,-4,-1
3938646,0,-4,-3
3938656,0,-6,-2
3938666,0,-6,-1
3938676,-1,-4,-2
3938766,-19,-10,0
3938776,-8,-2,0
3938786,12,-4,3
3938796,20,-2,8
3938806,2,-4,-19
3938816,-3,-8,11
3938826,-6,-3,-8
3938836,-7,-6,-3
3938846,22,-2,1
3938856,1,-6,-12
3938866,4,-6,17
3938876,-15,-10,24
3938886,4,-3,-14
3938896,1,-5,0
3938906,5,-5,-11
3938916,-4,-6,6
3938926,0,-7,-4
3938936,-1,-5,-1
3938946,7,-3,-5
3938956,-1,-5,1
3938966,2,-5,0
3938976,-12,-1,-15
3938986,18,1,13
3938996,6,-4,0
3939006,21,1,-14
3939016,-8,-8,-4
3939026,-1,-6,-4
3939036,-8,-9,6
3939046,6,-3,-9
3939056,1,-1,0
3939066,3,-4,-8
3939076,-5,-6,4
3939086,1,-3,-11
3939096,0,-4,18
3939106,11,-1,-22
3939116,-8,-11,12
3939126,-1,-6,-5
3939136,-3,-8,6
3939146,6,-1,-9
3939156,1,-5,0
3939166,2,-6,-7
3939176,-19,-10,2
3939186,1,-2,-6
3939196,9,-4,0
3939206,-6,-10,0
3939216,7,0,0
3939226,4,-4,-2
3939236,-2,-2,-7
3939246,1,-8,1
3939256,0,-5,-3
3939266,4,-2,0
3939276,-11,-9,10
3939286,1,-5,-9
3939296,-8,-10,2
3939306,6,-2,-7
3939316,-2,-5,5
3939326,-2,-5,5
3939336,3,-2,-3
3939346,0,-5,-1
3939356,3,-3,-4
3939366,-2,-5,8
3939376,-8,-4,-2
3939386,10,0,18
3939396,14,0,-6
3939406,17,-1,-10
3939416,-4,-8,9
3939426,-4,-6,-3
3939436,-7,-7,4
3939446,5,-3,-5
3939456,2,-4,1
3939466,4,-2,-15
3939476,-3,-2,20
3939486,11,1,-20
3939496,0,-5,-5
3939506,0,-6,-6
3939516,-5,-8,7
3939526,-19,-13,9
3939536,-33,-12,-10
3939546,-14,-10,18
3939556,-28,-12,-11
3939566,-8,-1,-22
3939576,6,-3,17
3939586,8,0,-21
3939596,-4,-9,16
3939606,20,-2,-4
3939616,-3,-5,13
3939626,11,-2,-20
3939636,-3,-8,1
3939646,0,-4,-7
3939656,-3,-7,9
3939666,10,-2,-10
3939676,-3,-7,1
3939686,0,-1,-3
3939696,-5,-8,6
3939706,1,-2,-1
3939716,0,-3,2
3939726,1,-4,-5
3939736,0,-5,1
3939826,1,-4,-2
3939836,-1,-5,0
3939846,0,-5,-2
3939856,-1,-3,-1
3939866,0,-4,0
3939876,-1,-4,0
3939886,0,-2,0
3939896,-1,-5,0
3939906,0,-5,-4
3939916,0,-3,-1
3939926,0,-7,-1
3939936,-1,-5,1
3939946,0,-6,-1
3939956,0,-6,0
3939966,1,-5,-1
3939976,1,-5,0
3939986,0,-4,-3
3939996,0,-6,0
3940006,0,-4,-1
3940016,0,-5,1
3940026,0,-5,2
3940036,-2,-7,0
3940046,0,-4,0
3940056,0,-6,0
3940066,1,-3,-2
3940076,1,-4,-1
3940086,0,-4,-2
3940096,1,-6,1
3940106,0,-5,-5
3940116,0,-6,1
3940126,1,-5,0
3940136,-1,-4,1
3940146,0,-5,-2
3940156,0,-7,0
3940166,0,-5,0
3940176,0,-4,0
3940186,-3,-3,0
3940196,0,-5,0
3940206,1,-4,-1
3940216,0,-5,2
3940286,0,-4,0
3940296,0,-5,0
3940306,-1,-7,-3
3940316,1,-5,-1
3940326,1,-5,0
3940336,-1,-5,0
3940346,-1,-4,0
3940356,1,-5,-1
3940366,0,-6,0
3940376,0,-5,0
3940386,2,-6,0
3940396,1,-6,0
3940406,-1,-4,-1
3940416,-1,-6,0
3940426,1,-4,-2
3940436,0,-5,0
3940446,1,-5,0
3940456,0,-5,-2
3940466,0,-4,-1
3940476,0,-5,1
3940486,1,-2,-2
3940496,0,-3,0
3940506,0,-6,0
3940516,0,-6,1
3940526,-1,-4,1
3940536,-1,-4,0
3940546,0,-6,-3
3940556,0,-5,-2
3940566,0,-5,0
3940576,1,-5,0
3940686,-1,-1,-5
3940696,-7,-9,6
3940706,1,-3,-4
3940716,0,-4,0
3940726,0,-6,-3
3940736,0,-5,5
3940746,2,-2,-9
3940756,6,1,-16
3940766,0,-5,9
3940776,0,-6,0
3940786,-6,-6,9
3940796,2,-3,-6
3940806,0,-5,-1
3940816,-1,-4,3
3940826,-2,-5,2
3940836,1,-5,-2
3940906,0,-5,-3
3940916,0,-4,-2
3940926,1,-3,-1
3940936,2,-1,0
3940946,0,-4,0
3940956,0,-3,-1
3940966,0,-6,2
3940976,2,-6,1
3940986,0,-3,0
3940996,0,-4,0
3941006,13,-10,-7
3941016,3,3,13
3941026,-1,-9,-14
